Buildname,Trait,Difficulty,Rank,Champions,Items,Augments,Steps
To The moon,Umbral,Easy,S,"Alune: Tier 3, Azir, Annie, Sylas, Sett, Lilia, Yone, Yorick","Alune: Spear of Shojin | Morellonomicon | Archangel's Staff, Sylas: Crownguard | Ionic Spark, Azir: Spear of Shojin | Umbral Emblem, Annie: Warmog's Armor | Dragon's Claw","Tier 1: Pick of the Litter,Tier 2: Umbral Crest, Tier 3: Reaper Crown","Early Game, 1. Play Around Umbral, 2. Use Qiyana as item holder for alune/yone, 3. Level up to 4 at stage 2-1"
Sage Sisters,Altruist,Hard,S,"Neeko, Diana, Nautilus, Illaoi, Wukong, Xayah & Rakan, Morgana, Lillia, Janna","Nautilus: Ionic Spark | Dragon's Claw, Illaoi: Bramble's Vest | Warmog's Armor, Wukong: Hand of Justice | Bloodthirster, Lillia: Jeweled Gauntlet | Spear of Shojin | Rabadon's Deathcap, Morgana: Morrelonomicon | Spear of Shojin | Rabadon's Deathcap","Teir 1: Buried Treasures 1 | Silver Veil | Unified Resistence 1, Teir 2: Sage Crest | Magic Wand | Epoch+, Teir 3: Sage Crown | Jeweled Lotus 3 | Unleashed Arcana","Early Game Plan: Play around mythic | Use Kog'Maw as item holder for Lillia/Morgana | Level up to 4 at stage 2-1,  Mid-Game Plan: Continue Slamming carry items | focus on economy to rush to level 8 in stage 4 | Level to 6 at stage 3-2"
Arcanist Casters,Arcanist,Hard,A,"Lux: Tier 3, Ahri, Amumu, Illaoi, Zoe, Syndra, Lissandra, Ashe","Lux: Spear of Shojin | Jelewed Gauntlet | Rabadon's Deathcap, Amumu: Dragon's Claw | Warmog's Armour | Bramble Vest, Ashe: Infinity Edge | Guinsoo's Rageblade | Last Whisper","Tier 1: One | Twos | Three, Tier 2: Arcanist Crest, Tier 3: Arcanist Crown","Early Game, 1. Play Around Arcanist, 2. Use Caitlyn as item holder for Ashe, 3. Level up to level 7 above 50 gold"
Tea Party,Porcelain,Hard,S,"Lillia: Tier 3, Lux, Nautilus, Annie, Lissandra, Ashe, Amumu, Kog'Maw, Azir","Lillia: Spear of Shojin | Rabadon's Deathcap | Jeweled Gauntlet, Lissandra: Nashor's Tooth | Rabadon's Deathcap | Spear of Shojin, Annie: Bramble Vest | Dragon's Claw | Warmog's Armor, Ashe: Infinity Edge | Guinsoo's Rageblade | Last Whisper","Tier 1: Tiny Titans, Tier 2: Porcelain Crest, Tier 3: Porcelain Crown","Early Game, 1. Play around Behemoth/Sniper/Mythic, 2. Use Caitlyn as item holder for Ashe/Lissandra, 3. Level up to 6 at stage 3-2"
Ethereal Blades, Behemoth, Medium, A,"Shen: Tier 3, Yorick: Tier 3, Thresh, Udyr, Ornn, Malphite, Wu Kong, Morgana","Shen: Guinsoo's Rageblade | Guinsoo's Rageblade | Talisman of Ascension, Yorick: Dragon's Claw | Ionic Spark | Warmog's Armor, Ornn: Bramble Vest | Redemption, Morgana: Spear of Shojin | Morellonomicon, Udyr: Bloodthrister | Titan's Resolve","Tier 1: Team Building, Tier 2: Ethereal Blades, Tier 3: Blinding Speed","Early Game, 1. Play around Behemoth, 2. Shen's items are your top priority, 3. Slowroll for Shen 3 star at level 6"
Lucky Paws, Bruiser, Easy, A,"Kobuko: Tier 3, Aatrox, Sylas, Tahm Kench, Riven, Rek'Sai, Irelia, Galio","Kobuko: Dragon's Claw | Redemption | Talisman of Ascension, Rek'Sai: Thief's Gloves, Galio: Protector's Vow | Gargoyle's Stoneplate, Irelia: Red Buff | Bruiser Emblem, Sylas: Ionic Spark | Blue Buff","Tier 1: Featherweights 1, Tier 2: Lucky Paws, Tier 3: Bruiser Crown","Early Game, 1. Play around bruiser, 2. Kobuko items are your top priority, 3. Level up to 6 AFTER hitting Kobuko 3 star"
Deadly Duelists, Duelist, Medium, S,"Tristana: Tier 3, Volibear: Tier 3, Irelia, Wu Kong, Lee Sin, Qiyana, Darius, Yasuo, Rakan","Tristana: Deathblade | Hextech Gunblade | Runaan's Hurricane, Volibear: Bloodthrister | Crownguard | Redemption, Lee Sin: Prowler's Claw | Titan's Resolve | Bloodthrister, Wu kong: Duelist Emblem, Irelia: Red Buff","Tier 1: Young and Wild and Free, Tier 2: Duelist Crest, Tier 3: Tiny, but Deadly","Early Game, 1. Play around duelists, 2. Try to activate 6 duelists, 3. Level up to 6 at stage 3-2"
Ideal Invokers, Invoker, Hard, S,"Lillia: Tier 3, Kog'Maw, Janna, Alune, Annie, Azir, Hwei, Darius, Lee Sin","Annie: Dragon's Claw | Warmog's Armor | Bramble Vest, Lillia: Rabadon's Deathcap | Spear of Shojin | Jeweled Gauntlet, Azir, Spear of Shojin | Jeweled Gauntlet, Hwei: Spear of Shojin","Tier 1: Lategame Specialist, Tier 2: Healing Orbs, Tier 3: Hedge Fund","Early Game, 1. Play around Invokers, 2. Magic items are your top priority, 3. Rush level ups to find 5-cost champions"
Heavenly Reaper, Reaper, Medium, S,"Yone: Tier 3, Kayn, Malphite, Neeko, Soraka, Qiyana, Kindred, Kha'Zix, Wu Kong","Yone: Titan's Resolve | Titan's Resolve | Bloodthrister, Neeko: Warmog's Armor | Dragon's Claw, Wu Kong: Bloodthrister | Hand of Justice, Kayn: Heavenly Emblem | Edge of Night","Tier 1: Healing Orbs, Tier 2: Heavenly Crest, New Recruit","Early Game, 1. Play around heavenly, 2. Add reapers 3. Level up to 6 at stage 3-2"
Sage Sisters, Sage, Hard, A,"Zyra: Tier 3, Diana: Tier 3, Morgana, Wu Kong, Lee Sin, Irelia, Riven, Soraka","Zyra: Spear of Shojin | Rabadon' Deathcap | Jeweled Gauntlet, Diana: Dragon's Claw | Warmog's Armor | Bramble Vest, Wu Kong: Bloodthrister | Hand of Justice, Irelia: Red Buff | Last Whisper, Lee Sin: Titan's Resolve | Bloodthrister | Hand of Justice","Tier 1: Lategame Specialist, Tier 2: Healing Orbs, Tier 3: Sage Crown","Early Game, 1. Play around sage, 2. Level up above 50 gold, 3. Roll to find Wu Kong and other 5-cost champions"
